x1,x2,class
10.52,0.65,3
1.46,-1.25,2
1.50,0.56,2
-1.36,2.50,0
11.16,5.19,1
11.88,7.49,1
1.45,-0.59,2
0.18,-0.99,2
13.77,1.38,3
0.78,-1.06,2
1.67,-1.74,2
11.80,6.05,1
1.25,0.59,2
11.91,0.64,3
-0.47,2.54,0
11.89,6.76,1
12.18,6.41,1
9.96,4.94,1
10.69,7.62,1
-0.13,0.42,2
-3.49,1.51,0
10.92,7.22,1
1.79,-0.48,2
11.67,4.47,1
-1.76,3.72,0
12.19,7.89,1
-4.37,1.96,0
11.09,-0.63,3
12.38,6.95,1
-0.31,-0.86,2
11.71,5.87,1
12.18,7.01,1
-3.91,1.76,0
1.24,0.19,2
11.91,1.43,3
-2.13,-0.71,2
11.62,5.81,1
-1.17,-0.07,2
10.32,1.79,3
13.42,-0.39,3
10.29,-0.28,3
12.78,0.45,3
-1.13,0.19,2
0.54,-1.61,2
-0.84,4.39,0
-4.51,1.70,0
11.94,5.75,1
-0.95,3.22,0
9.08,7.24,1
-3.48,3.34,0
1.29,-0.24,2
10.08,5.10,1
-0.98,3.15,0
13.67,0.60,3
11.52,5.81,1
-3.62,1.46,0
12.01,1.18,3
-4.78,4.11,0
11.73,6.74,1
11.32,6.65,1
9.36,1.35,3
-1.69,2.11,0
-0.87,1.64,0
-0.28,2.64,0
10.34,0.51,3
0.69,-2.17,2
11.74,0.62,3
-1.13,-0.52,2
10.98,1.14,3
12.25,1.70,3
12.43,0.63,3
13.26,6.13,1
-0.03,0.37,2
12.31,5.29,1
10.44,1.98,3
12.90,6.03,1
0.30,-1.39,2
2.89,-0.16,2
-3.74,3.16,0
-3.13,1.60,0
10.16,2.74,3
9.69,5.98,1
12.81,4.75,3
-4.36,3.60,0
11.67,5.95,1
2.75,-0.39,2
-2.76,3.64,0
11.78,5.62,1
1.87,0.31,2
-1.38,2.03,0
9.23,7.28,1
-2.03,2.04,0
11.55,0.64,3
1.49,-1.81,2
13.46,5.94,1
-1.59,2.20,0
0.38,0.74,2
11.88,6.55,1
10.33,0.66,3
3.33,-0.82,2
10.61,1.57,3
10.66,6.30,1
-0.25,1.85,0
-3.56,0.75,0
1.68,0.38,2
10.28,7.16,1
0.51,0.99,2
8.96,2.87,3
1.83,-0.87,2
-1.45,4.04,0
-0.31,3.15,0
-2.41,1.82,0
10.32,1.44,3
1.30,-2.53,2
10.84,-0.50,3
1.37,2.45,0
12.18,0.64,3
11.10,1.13,3
1.87,-1.90,2
10.36,5.53,1
0.29,-1.55,2
8.90,5.38,1
0.07,0.66,0
-2.57,1.44,0
-2.04,1.72,0
-3.07,1.08,0
13.71,2.15,3
0.08,2.52,0
3.32,-0.07,2
10.64,5.70,1
11.93,5.94,1
10.30,2.18,3
-3.47,3.58,0
12.54,5.92,1
11.71,6.48,1
-2.18,2.54,0
-1.40,2.11,0
12.03,6.21,1
-1.71,2.65,0
12.01,6.46,1
0.78,-2.22,2
0.35,-1.24,2
8.22,1.75,3
-3.18,2.83,0
-1.72,2.05,0
10.93,1.70,3
9.28,0.88,3
-0.11,0.94,0
-3.28,1.31,0
10.88,6.04,1
-0.59,0.66,2
10.82,8.41,1
-0.07,1.47,0
11.51,6.50,1
10.16,7.25,1
11.92,0.45,3
9.11,4.08,1
10.73,6.97,1
1.53,-0.99,2
11.78,5.57,1
9.55,7.62,1
2.22,-0.69,2
-1.68,1.17,0
-3.18,-0.66,2
13.19,2.86,3
-3.10,1.21,0
8.90,1.04,3
-0.51,-0.05,2
1.20,0.18,2
10.48,8.88,1
1.40,-1.14,2
9.77,1.46,3
-1.72,1.65,0
-3.63,3.14,0
0.01,1.74,0
-0.43,-0.79,2
12.79,3.14,3
11.14,6.20,1
0.01,-0.85,2
3.35,-1.45,2
2.68,-1.48,2
10.30,6.47,1
2.63,-1.27,2
11.19,4.42,1
9.40,4.89,1
1.91,-0.82,2
-0.11,2.80,0
-1.23,1.29,0
10.27,0.71,3
8.47,1.80,3
11.76,-0.29,3
12.23,-0.11,3
12.48,2.38,3
8.79,0.61,3
0.16,-0.99,2
12.08,6.43,1
11.10,1.97,3
12.90,-0.87,3
-4.21,1.12,0
10.64,-0.55,3
12.21,1.89,3
7.34,7.12,1
11.16,2.33,3
2.44,-0.51,2
12.07,0.90,3
1.79,-1.19,2
-1.37,0.15,2
8.85,6.92,1
13.94,8.41,1
13.24,6.33,1
-1.41,-1.08,2
11.15,2.87,3
11.59,1.00,3
10.71,6.91,1
13.35,0.85,3
-3.31,2.23,0
-0.90,-2.92,2
-2.16,0.41,0
10.12,7.43,1
9.66,1.91,3
12.99,7.36,1
9.22,1.19,3
-1.60,1.70,0
-3.71,1.22,0
-0.47,0.20,2
10.93,0.90,3
10.60,7.67,1
10.61,1.62,3
-3.33,1.03,0
10.54,5.80,1
-2.26,-0.15,0
12.56,-0.53,3
-3.88,0.75,0
-1.66,1.26,0
3.16,-0.15,2
-0.04,-1.42,2
-4.04,2.57,0
11.78,1.90,3
-2.16,4.39,0
-2.75,4.02,0
-2.33,1.56,0
12.67,-0.64,3
0.77,-1.48,2
9.56,4.60,1
9.46,2.30,3
-0.64,-1.95,2
-0.10,-0.82,2
10.93,-0.21,3
11.37,2.13,3
-1.73,1.76,0
